City,Country,Date,Medium,Page,Region,Section,Section (group),Exits,Goal Conversion Rate,Number of Records,Pageviews,Pageviews per Visitor,Time on Page,Time on Page per Visitor,Total Downloads,Unique Visitors,Visits
Washington,United States,11/29/2014,(none),index.htm,North America,User,User Generated,10,0.0022,1,92,3.68,2463,98.52,0.1078,25,49
San Jose,United States,11/29/2014,(none),index.htm,North America,User,User Generated,13,0.0028,1,30,2.307692308,1703,131,0.1232,13,44
Seattle,United States,11/29/2014,(none),index.htm,North America,User,User Generated,14,0.0016,1,28,2,99,7.071428571,0.1248,14,78
Athens,United States,11/29/2014,(none),index.htm,North America,User,User Generated,16,0.0011,1,28,1.75,1920,120,0.0583,16,53
New York,United States,11/29/2014,(none),index.htm,North America,User,User Generated,18,0.0029,1,88,3.826086957,1889,82.130434783,0.3509,23,121
Manassas,United States,11/29/2014,(none),index.htm,North America,User,User Generated,20,0.0035,1,93,4.65,2275,113.75,0.1505,20,43
Ames,United States,11/29/2014,(none),index.htm,North America,User,User Generated,20,0.0024,1,82,3.565217391,2254,98,0.1704,23,71
New York,United States,11/29/2014,(none),/,North America,User,User Generated,30,0.012658228,1,56,1.866666667,287,9.566666667,1,30,79
Los Angeles,United States,11/30/2014,(none),/,North America,User,User Generated,0,0.0011,1,47,4.7,49,4.9,0.0385,10,35
Burlington,United States,11/30/2014,(none),/how-it-works,North America,User,User Generated,1,0.0015,1,2,2,135,135,0.0765,1,51
Hattiesburg,United States,11/30/2014,(none),index.htm,North America,User,User Generated,3,0.0027,1,14,4.666666667,345,115,0.0351,3,13
Battle Creek,United States,11/30/2014,(none),index.htm,North America,User,User Generated,3,0.0031,1,4,1.333333333,5796,1932,0.124,3,40
Palo Alto,United States,11/30/2014,(none),index.htm,North America,User,User Generated,4,0.0014,1,6,1.5,3175,793.75,0.0266,4,19
Jackson,United States,11/30/2014,(none),index.htm,North America,User,User Generated,7,0.0036,1,16,2.285714286,1106,158,0.0648,7,18
Warren,United States,11/30/2014,(none),index.htm,North America,User,User Generated,7,0.0018,1,34,4.857142857,287,41,0.0918,7,51
Dallas,United States,11/30/2014,(none),index.htm,North America,User,User Generated,8,0.0036,1,24,3,784,98,0.0828,8,23
Bethesda,United States,11/30/2014,(none),index.htm,North America,User,User Generated,8,0.0026,1,39,4.875,1184,148,0.0728,8,28
Cambridge,United States,11/30/2014,(none),index.htm,North America,User,User Generated,8,0.0016,1,9,1.125,1120,140,0.0592,8,37
Boston,United States,11/30/2014,(none),index.htm,North America,User,User Generated,8,0.017543860,1,36,4.5,28447,3555.875,1,8,57
Annapolis,United States,11/30/2014,(none),/,North America,User,User Generated,10,0.0037,1,46,4.6,129,12.9,0.1406,10,38
New Bern,United States,11/30/2014,(none),/,North America,User,User Generated,10,0.024390244,1,25,2.5,870,87,1,10,41
New York,United States,11/30/2014,(none),/faq,North America,User,User Generated,10,0.019230769,1,21,2.1,920,92,1,10,52
Athens,United States,11/30/2014,(none),index.htm,North America,User,User Generated,10,0.0015,1,23,2.3,910,91,0.0795,10,53
Charlotte,United States,11/30/2014,(none),index.htm,North America,User,User Generated,10,0.001,1,25,2.5,1480,148,0.06,10,60
Austin,United States,11/30/2014,(none),index.htm,North America,User,User Generated,10,0.035714286,1,57,4.75,6301,525.083333333,1,12,28
San Antonio,United States,11/30/2014,(none),/how-it-works,North America,User,User Generated,10,0.0026,1,37,2.3125,1312,82,0.1222,16,47
Portland,United States,12/1/2014,(none),index.htm,North America,User,User Generated,0,0.0031,1,47,3.615384615,4352,334.769230769,0.1147,13,37
Wyandanch,United States,12/1/2014,(none),index.htm,North America,User,User Generated,1,0.0016,1,3,3,96,96,0.0576,1,36
Round Rock,United States,12/1/2014,(none),index.htm,North America,User,User Generated,1,0.004,1,4,4,54,54,0.164,1,41
Lincoln,United States,12/1/2014,(none),/app/6.0/start,North America,User,User Generated,10,0.045454545,1,11,1.1,1580,158,1,10,22
Mahomet,United States,12/1/2014,(none),index.htm,North America,User,User Generated,10,0.0018,1,68,4.857142857,20168,1440.571428571,0.1062,14,59
Starkville,United States,12/1/2014,(none),index.htm,North America,User,User Generated,10,0.0034,1,67,3.722222222,3571,198.388888889,0.1904,18,56
Tucson,United States,12/1/2014,(none),index.htm,North America,User,User Generated,10,0.022727273,1,26,1.083333333,5054,210.583333333,1,24,44
Morgan Hill,United States,12/2/2014,(none),/,North America,User,User Generated,0,0.0034,1,30,3,89,8.9,0.0952,10,28
Lincoln,United States,12/2/2014,(none),/app/6.0/start,North America,User,User Generated,0,0.02,1,27,2.7,5994,599.4,1,10,50
Seattle,United States,12/2/2014,(none),index.htm,North America,User,User Generated,3,0.0024,1,8,2.666666667,414,138,0.06,3,25
New River,United States,12/2/2014,(none),index.htm,North America,User,User Generated,6,0.0036,1,23,3.833333333,1038,173,0.1152,6,32
Elkridge,United States,12/2/2014,(none),index.htm,North America,User,User Generated,10,0.0014,1,31,3.1,18309,1830.9,0.0308,10,22
New York,United States,12/2/2014,(none),/app/6.0/start,North America,User,User Generated,10,0.0031,1,43,4.3,1360,136,0.0682,10,22
San Jose,United States,12/2/2014,(none),index.htm,North America,User,User Generated,10,0.0018,1,58,4.461538462,4046,311.230769231,0.108,13,60
Henderson,United States,12/2/2014,(none),index.htm,North America,User,User Generated,10,0.0032,1,79,3.590909091,1573,71.5,0.1664,22,52
Lincoln,United States,12/3/2014,(none),/how-it-works?build=7000.12.1018.2200,North America,User,User Generated,0,0.0021,1,103,3.961538462,247,9.5,0.1449,26,69
Farmington,United States,12/3/2014,(none),index.htm,North America,User,User Generated,1,0.0027,1,2,2,52,52,0.054,1,20
Palo Alto,United States,12/3/2014,(none),index.htm,North America,User,User Generated,1,0.0039,1,4,4,167,167,0.1482,1,38
St Paul,United States,12/3/2014,(none),index.htm,North America,User,User Generated,2,0.0028,1,4,2,1078,539,0.1316,2,47
Washington,United States,12/3/2014,(none),index.htm,North America,User,User Generated,4,0.0034,1,8,2,524,131,0.1632,4,48
New Orleans,United States,12/3/2014,(none),index.htm,North America,User,User Generated,5,0.0026,1,11,2.2,575,115,0.0728,5,28
Battle Creek,United States,12/3/2014,(none),index.htm,North America,User,User Generated,6,0.0024,1,19,3.166666667,294,49,0.132,6,55
Dunn Loring,United States,12/3/2014,(none),index.htm,North America,User,User Generated,7,0.0015,1,33,4.714285714,8210,1172.857142857,0.0345,7,23
Los Angeles,United States,12/3/2014,(none),index.htm,North America,User,User Generated,7,0.0035,1,34,4.857142857,880,125.714285714,0.1995,7,57
Seattle,United States,12/3/2014,(none),index.htm,North America,User,User Generated,7,0.0031,1,27,3.857142857,966,138,0.2263,7,73
Kirkland,United States,12/3/2014,(none),index.htm,North America,User,User Generated,8,0.027777778,1,15,1.875,1440,180,1,8,36
Arlington,United States,12/3/2014,(none),index.htm,North America,User,User Generated,8,0.003,1,33,4.125,432,54,0.114,8,38
Albuquerque,United States,12/3/2014,(none),index.htm,North America,User,User Generated,8,0.004,1,30,3.75,1104,138,0.188,8,47
San Jose,United States,12/3/2014,(none),index.htm,North America,User,User Generated,9,0.0039,1,19,2.111111111,864,96,0.0741,9,19
Mc Lean,United States,12/3/2014,(none),index.htm,North America,User,User Generated,10,0.0017,1,40,4,750,75,0.1003,10,59
Normal,United States,12/3/2014,(none),index.htm,North America,User,User Generated,10,0.0026,1,49,3.266666667,851,56.733333333,0.0962,15,37
Brunswick,United States,12/3/2014,(none),index.htm,North America,User,User Generated,10,0.0027,1,22,1.222222222,2206,122.555555556,0.1701,18,63
Warren,United States,12/3/2014,(none),index.htm,North America,User,User Generated,10,0.0028,1,36,1.5,1118,46.583333333,0.126,24,45
Seattle,United States,12/4/2014,(none),/,North America,User,User Generated,0,0.0028,1,10,1,3561,356.1,0.1624,10,58
Boston,United States,12/4/2014,(none),index.htm,North America,User,User Generated,1,0.047619048,1,1,1,93,93,1,1,21
Studio City,United States,12/4/2014,(none),index.htm,North America,User,User Generated,1,0.0023,1,4,4,69,69,0.0759,1,33
Farmington,United States,12/4/2014,(none),index.htm,North America,User,User Generated,1,0.002,1,2,2,45,45,0.102,1,51
Lawrence,United States,12/4/2014,(none),index.htm,North America,User,User Generated,2,0.0019,1,8,4,216,108,0.0874,2,46
Dansville,United States,12/4/2014,(none),index.htm,North America,User,User Generated,2,0.0039,1,2,1,184,92,0.1833,2,47
Charlotte,United States,12/4/2014,(none),index.htm,North America,User,User Generated,4,0.0024,1,11,2.75,180,45,0.0504,4,21
Austin,United States,12/4/2014,(none),/knowledgebase/sharing-views,North America,User,User Generated,4,0.001,1,15,3.75,2127,531.75,0.023,4,23
St Paul,United States,12/4/2014,(none),index.htm,North America,User,User Generated,5,0.0017,1,14,2.8,230,46,0.0595,5,35
San Jose,United States,12/4/2014,(none),index.htm,North America,User,User Generated,6,0.0038,1,16,2.666666667,408,68,0.0646,6,17
Charleston,United States,12/4/2014,(none),index.htm,North America,User,User Generated,6,0.0025,1,27,4.5,372,62,0.0675,6,27
San Antonio,United States,12/4/2014,(none),index.htm,North America,User,User Generated,6,0.0029,1,14,2.333333333,792,132,0.1334,6,46
New York,United States,12/4/2014,(none),index.htm,North America,User,User Generated,7,0.0028,1,32,4.571428571,392,56,0.0644,7,23
Pembroke Pines,United States,12/4/2014,(none),index.htm,North America,User,User Generated,7,0.0039,1,9,1.285714286,445,63.571428571,0.1599,7,41
San Francisco,United States,12/4/2014,(none),/,North America,User,User Generated,10,0.0023,1,25,2.5,10,1,0.0621,10,27
Seattle,United States,12/4/2014,(none),/how-it-works,North America,User,User Generated,10,0.0024,1,16,1.6,1280,128,0.1296,10,54
Nashville,United States,12/4/2014,(none),index.htm,North America,User,User Generated,10,0.0016,1,41,4.1,455,45.5,0.096,10,60
Waukesha,United States,12/4/2014,(none),index.htm,North America,User,User Generated,10,0.0016,1,84,4.2,8012,400.6,0.1072,20,67
San Diego,United States,12/4/2014,(none),index.htm,North America,User,User Generated,10,0.0023,1,76,3.304347826,20831,905.695652174,0.1012,23,44
Dallas,United States,12/4/2014,(none),index.htm,North America,User,User Generated,10,0.0012,1,117,4.875,7735,322.291666667,0.0708,24,59
Everett,United States,12/4/2014,(none),index.htm,North America,User,User Generated,10,0.0022,1,95,3.958333333,7201,300.041666667,0.1386,24,63
Seattle,United States,12/4/2014,(none),index.htm,North America,User,User Generated,15,0.014084507,1,47,3.133333333,12433,828.866666667,1,15,71
Burke,United States,12/4/2014,(none),index.htm,North America,User,User Generated,16,0.0031,1,94,4.272727273,17082,776.454545455,0.279,22,90
Plainsboro,United States,12/5/2014,(none),index.htm,North America,User,User Generated,0,0.0038,1,34,3.4,470,47,0.0798,10,21
Seattle,United States,12/5/2014,(none),/,North America,User,User Generated,0,0.0026,1,47,4.7,3531,353.1,0.0624,10,24
Providence,United States,12/5/2014,(none),index.htm,North America,User,User Generated,1,0.0025,1,1,1,49,49,0.125,1,50
Baltimore,United States,12/5/2014,(none),index.htm,North America,User,User Generated,2,0.0034,1,5,2.5,358,179,0.068,2,20
Salt Lake City,United States,12/5/2014,(none),index.htm,North America,User,User Generated,3,0.0017,1,10,3.333333333,399,133,0.0578,3,34
Dallas,United States,12/5/2014,(none),index.htm,North America,User,User Generated,4,0.0012,1,16,4,484,121,0.018,4,15
Norcross,United States,12/5/2014,(none),index.htm,North America,User,User Generated,5,0.0039,1,6,1.2,700,140,0.1014,5,26
New York,United States,12/5/2014,(none),/,North America,User,User Generated,10,0.0032,1,15,1.5,1580,158,0.064,10,20
Washington,United States,12/5/2014,(none),/,North America,User,User Generated,10,0.0027,1,33,3.3,1530,153,0.1323,10,49
San Diego,United States,12/5/2014,(none),/,North America,User,User Generated,10,0.0028,1,39,3.9,1650,165,0.1596,10,57
Austin,United States,12/5/2014,(none),index.htm,North America,User,User Generated,10,0.0016,1,61,2.904761905,326,15.523809524,0.1072,21,67
Detroit,United States,12/5/2014,(none),index.htm,North America,User,User Generated,10,0.0017,1,78,3.391304348,317,13.782608696,0.1224,23,72
Richmond,United States,12/5/2014,(none),index.htm,North America,User,User Generated,11,0.0038,1,38,3.454545455,462,42,0.1102,11,29
Boynton Beach,United States,12/5/2014,(none),index.htm,North America,User,User Generated,25,0.0025,1,49,1.96,5895,235.8,0.1325,25,53
Roswell,United States,12/6/2014,(none),index.htm,North America,User,User Generated,0,0.0022,1,25,2.5,247,24.7,0.121,10,55
Rockland,United States,12/6/2014,(none),/how-it-works,North America,User,User Generated,0,0.0014,1,19,1.727272727,2572,233.818181818,0.0616,11,44
New York,United States,12/6/2014,(none),/thanks,North America,User,User Generated,0,0.0022,1,52,2.260869565,138,6,0.0836,23,38
Allen,United States,12/6/2014,(none),index.htm,North America,User,User Generated,1,0.0039,1,1,1,164,164,0.1365,1,35
Boulder,United States,12/6/2014,(none),index.htm,North America,User,User Generated,4,0.0018,1,11,2.75,668,167,0.0972,4,54
Wyandanch,United States,12/6/2014,(none),index.htm,North America,User,User Generated,5,0.003,1,17,3.4,420,84,0.156,5,52
Norcross,United States,12/6/2014,(none),index.htm,North America,User,User Generated,6,0.0015,1,17,2.833333333,623,103.833333333,0.0255,6,17
Boston,United States,12/6/2014,(none),index.htm,North America,User,User Generated,6,0.0024,1,21,3.5,474,79,0.0984,6,41
Astoria,United States,12/6/2014,(none),index.htm,North America,User,User Generated,7,0.029411765,1,17,2.428571429,742,106,1,7,34
East Irvine,United States,12/6/2014,(none),index.htm,North America,User,User Generated,7,0.003,1,15,2.142857143,12512,1787.428571429,0.126,7,42
New York,United States,12/6/2014,(none),index.htm,North America,User,User Generated,7,0.0021,1,13,1.857142857,973,139,0.0945,7,45
St Paul,United States,12/6/2014,(none),index.htm,North America,User,User Generated,9,0.0016,1,16,1.777777778,16756,1861.777777778,0.0352,9,22
Salt Lake City,United States,12/6/2014,(none),index.htm,North America,User,User Generated,9,0.019230769,1,26,2.888888889,801,89,1,9,52
Arlington,United States,12/6/2014,(none),/,North America,User,User Generated,10,0.0035,1,20,2,20,2,0.0805,10,23
Lafayette,United States,12/6/2014,(none),/how-it-works,North America,User,User Generated,10,0.0038,1,28,2.8,1120,112,0.0874,10,23
Seattle,United States,12/6/2014,(none),/,North America,User,User Generated,10,0.0015,1,41,4.1,247,24.7,0.036,10,24
Sacramento,United States,12/6/2014,(none),/app/6.0/start,North America,User,User Generated,10,0.0027,1,26,2.6,610,61,0.1296,10,48
Winter Park,United States,12/6/2014,(none),index.htm,North America,User,User Generated,10,0.0018,1,26,2.6,584,58.4,0.1044,10,58
Ashburn,United States,12/6/2014,(none),index.htm,North America,User,User Generated,10,0.0019,1,79,3.761904762,3393,161.571428571,0.0855,21,45
San Francisco,United States,12/6/2014,(none),index.htm,North America,User,User Generated,14,0.0037,1,19,1.357142857,38309,2736.357142857,0.1295,14,35
Seattle,United States,12/6/2014,(none),index.htm,North America,User,User Generated,14,0.0035,1,25,1.785714286,218,15.571428571,0.224,14,64
Nashville,United States,12/6/2014,(none),index.htm,North America,User,User Generated,20,0.002,1,48,2.4,3541,177.05,0.104,20,52
Studio City,United States,12/6/2014,(none),index.htm,North America,User,User Generated,20,0.0019,1,70,3.181818182,14847,674.863636364,0.0855,22,45
Poughkeepsie,United States,12/7/2014,(none),/how-it-works?build=7000.12.0622.2200,North America,User,User Generated,0,0.0011,1,1,1,643,643,0.044,1,40
Tallahassee,United States,12/7/2014,(none),/,North America,User,User Generated,0,0.0025,1,31,3.1,1029,102.9,0.0975,10,39
Norman,United States,12/7/2014,(none),index.htm,North America,User,User Generated,4,0.0022,1,10,2.5,668,167,0.1012,4,46
Lewiston,United States,12/7/2014,(none),index.htm,North America,User,User Generated,4,0.0014,1,18,4.5,276,69,0.0756,4,54
Wyandanch,United States,12/7/2014,(none),index.htm,North America,User,User Generated,5,0.0036,1,17,3.4,530,106,0.1152,5,32
San Jose,United States,12/7/2014,(none),index.htm,North America,User,User Generated,5,0.023809524,1,18,3.6,188,37.6,1,5,42
Los Angeles,United States,12/7/2014,(none),index.htm,North America,User,User Generated,5,0.0035,1,19,3.8,2018,403.6,0.1575,5,45
Binghamton,United States,12/7/2014,(none),index.htm,North America,User,User Generated,5,0.0029,1,13,2.6,485,97,0.1392,5,48
Chicago,United States,12/7/2014,(none),index.htm,North America,User,User Generated,6,0.0029,1,14,2.333333333,990,165,0.1131,6,39
Winter Park,United States,12/7/2014,(none),index.htm,North America,User,User Generated,7,0.0023,1,24,3.428571429,658,94,0.0966,7,42
Laguna Hills,United States,12/7/2014,(none),index.htm,North America,User,User Generated,8,0.0032,1,24,3,384,48,0.1536,8,48
Charlotte,United States,12/7/2014,(none),/how-it-works,North America,User,User Generated,10,0.002,1,33,3,208,18.909090909,0.118,11,59
Avon,United States,12/7/2014,(none),index.htm,North America,User,User Generated,10,0.0034,1,48,3.692307692,1009,77.615384615,0.1938,13,57
Boston,United States,12/7/2014,(none),index.htm,North America,User,User Generated,10,0.0035,1,88,4.888888889,7527,418.166666667,0.1015,18,29
Norfolk,United States,12/7/2014,(none),index.htm,North America,User,User Generated,22,0.0026,1,59,2.681818182,21167,962.136363636,0.1846,22,71
Austin,United States,12/8/2014,(none),/,North America,User,User Generated,0,0.023255814,1,46,4.6,237,23.7,1,10,43
New River,United States,12/8/2014,(none),index.htm,North America,User,User Generated,1,0.0022,1,5,5,42,42,0.0462,1,21
San Francisco,United States,12/8/2014,(none),index.htm,North America,User,User Generated,1,0.0028,1,2,2,79,79,0.0868,1,31
West Milford,United States,12/8/2014,(none),index.htm,North America,User,User Generated,1,0.0032,1,4,4,69,69,0.1376,1,43
Reynoldsburg,United States,12/8/2014,(none),index.htm,North America,User,User Generated,5,0.0037,1,14,2.8,715,143,0.1554,5,42
Cambridge,United States,12/8/2014,(none),index.htm,North America,User,User Generated,7,0.0018,1,30,4.285714286,218,31.142857143,0.0846,7,47
Dallas,United States,12/8/2014,(none),index.htm,North America,User,User Generated,8,0.001,1,18,2.25,456,57,0.024,8,24
Mc Lean,United States,12/8/2014,(none),/app/6.0/start,North America,User,User Generated,10,0.0022,1,44,4.4,366,36.6,0.0726,10,33
San Diego,United States,12/8/2014,(none),/,North America,User,User Generated,10,0.0014,1,25,2.5,640,64,0.0644,10,46
Glendale,United States,12/8/2014,(none),index.htm,North America,User,User Generated,10,0.0016,1,50,3.333333333,3333,222.2,0.088,15,55
Hoboken,United States,12/8/2014,(none),index.htm,North America,User,User Generated,13,0.0019,1,35,2.692307692,17072,1313.230769231,0.0874,13,46
Cambridge,United States,12/9/2014,(none),index.htm,North America,User,User Generated,0,0.0023,1,29,4.142857143,350,50,0.0391,7,17
Hoboken,United States,12/9/2014,(none),index.htm,North America,User,User Generated,2,0.0035,1,3,1.5,350,175,0.0455,2,13
Dansville,United States,12/9/2014,(none),index.htm,North America,User,User Generated,4,0.0017,1,9,2.25,580,145,0.0374,4,22
Glendale,United States,12/9/2014,(none),index.htm,North America,User,User Generated,4,0.0013,1,10,2.5,388,97,0.0403,4,31
Rochester,United States,12/9/2014,(none),/,North America,User,User Generated,10,0.0039,1,28,2.8,840,84,0.1521,10,39
Lehi,United States,12/9/2014,(none),/,North America,User,User Generated,10,0.0032,1,41,4.1,1710,171,0.1408,10,44
Athens,United States,12/9/2014,(none),index.htm,North America,User,User Generated,10,0.0012,1,72,4.8,14679,978.6,0.0336,15,28
West Chester,United States,12/10/2014,(none),/404.html?page=/dl/sites/default/files/xls/NYCGraffiti_0.csv&from=,North America,User,User Generated,0,0.0031,1,48,4.8,158,15.8,0.1023,10,33
St Louis,United States,12/10/2014,(none),/,North America,User,User Generated,0,0.0016,1,49,4.9,158,15.8,0.072,10,45
Denver,United States,12/10/2014,(none),/,North America,User,User Generated,0,0.0022,1,31,3.1,79,7.9,0.132,10,60
Athens,United States,12/10/2014,(none),index.htm,North America,User,User Generated,1,0.0024,1,5,5,152,152,0.0408,1,17
Boston,United States,12/10/2014,(none),index.htm,North America,User,User Generated,2,0.0026,1,2,1,254,127,0.1274,2,49
Charlotte,United States,12/10/2014,(none),index.htm,North America,User,User Generated,3,0.0011,1,8,2.666666667,455,151.666666667,0.0275,3,25
Midvale,United States,12/10/2014,(none),index.htm,North America,User,User Generated,3,0.0038,1,12,4,336,112,0.1596,3,42
East Orange,United States,12/10/2014,(none),index.htm,North America,User,User Generated,4,0.0029,1,4,1,3284,821,0.0638,4,22
New York,United States,12/10/2014,(none),index.htm,North America,User,User Generated,4,0.002,1,8,2,388,97,0.104,4,52
Chicago,United States,12/10/2014,(none),index.htm,North America,User,User Generated,5,0.0026,1,6,1.2,245,49,0.143,5,55
Dunn Loring,United States,12/10/2014,(none),index.htm,North America,User,User Generated,7,0.0017,1,8,1.142857143,644,92,0.0408,7,24
St Paul,United States,12/10/2014,(none),index.htm,North America,User,User Generated,8,0.004,1,15,1.875,15529,1941.125,0.092,8,23
Hoboken,United States,12/10/2014,(none),index.htm,North America,User,User Generated,8,0.0011,1,34,4.25,568,71,0.0297,8,27
Cornelius,United States,12/10/2014,(none),index.htm,North America,User,User Generated,8,0.0035,1,26,3.25,1024,128,0.1225,8,35
Arlington,United States,12/10/2014,(none),/,North America,User,User Generated,10,0.0024,1,39,3.9,560,56,0.0552,10,23
State College,United States,12/10/2014,(none),index.htm,North America,User,User Generated,10,0.0019,1,28,2,5875,419.642857143,0.0513,14,27
New York,United States,12/10/2014,(none),/,North America,User,User Generated,10,0.0027,1,43,2.15,287,14.35,0.1404,20,52
Nashville,United States,12/10/2014,(none),/app/6.0/start,North America,User,User Generated,20,0.0017,1,67,3.35,4352,217.6,0.0782,20,46
New York,United States,12/11/2014,(none),/,North America,User,User Generated,0,0.0036,1,22,2.2,20,2,0.1404,10,39
Hoboken,United States,12/11/2014,(none),index.htm,North America,User,User Generated,1,0.037037037,1,2,2,93,93,1,1,27
Roswell,United States,12/11/2014,(none),index.htm,North America,User,User Generated,2,0.0017,1,8,4,282,141,0.0238,2,14
Dallas,United States,12/11/2014,(none),index.htm,North America,User,User Generated,4,0.0024,1,6,1.5,257,64.25,0.0456,4,19
Gainesville,United States,12/11/2014,(none),index.htm,North America,User,User Generated,6,0.001,1,22,3.666666667,346,57.666666667,0.054,6,54
Dunn Loring,United States,12/11/2014,(none),index.htm,North America,User,User Generated,7,0.0024,1,26,3.714285714,1064,152,0.1032,7,43
New York,United States,12/11/2014,(none),index.htm,North America,User,User Generated,7,0.0028,1,7,1,784,112,0.14,7,50
Cambridge,United States,12/11/2014,(none),index.htm,North America,User,User Generated,9,0.0038,1,32,3.555555556,639,71,0.0836,9,22
Durham,United States,12/11/2014,(none),index.htm,North America,User,User Generated,9,0.0017,1,35,3.888888889,801,89,0.0425,9,25
Chicago,United States,12/11/2014,(none),index.htm,North America,User,User Generated,10,0.0024,1,50,5,1420,142,0.0504,10,21
Bridgewater,United States,12/11/2014,(none),/,North America,User,User Generated,10,0.0025,1,15,1.5,445,44.5,0.0725,10,29
Norfolk,United States,12/11/2014,(none),index.htm,North America,User,User Generated,10,0.0011,1,87,4.578947368,455,23.947368421,0.0363,19,33
Oakland,United States,12/11/2014,(none),/knowledgebase/sharing-views,North America,User,User Generated,10,0.0019,1,43,2.15,2460,123,0.0912,20,48
South San Francisco,United States,12/11/2014,(none),/knowledgebase/sharing-views,North America,User,User Generated,10,0.002,1,79,3.434782609,3427,149,0.102,23,51
Scotts Valley,United States,12/11/2014,(none),/knowledgebase/sharing-views,North America,User,User Generated,10,0.0035,1,77,2.483870968,3441,111,0.1715,31,49
St Louis,United States,12/11/2014,(none),/app/6.0/start,North America,User,User Generated,20,0.0022,1,68,3.4,1360,68,0.1078,20,49
Nashville,United States,12/11/2014,(none),/,North America,User,User Generated,20,0.0027,1,24,1.2,475,23.75,0.1404,20,52
Seattle,United States,12/11/2014,(none),index.htm,North America,User,User Generated,20,0.0027,1,124,2.583333333,6054,126.125,0.3888,48,144
Gardner,United States,12/12/2014,(none),/,North America,User,User Generated,0,0.0036,1,43,4.3,79,7.9,0.0828,10,23
Austin,United States,12/12/2014,(none),/,North America,User,User Generated,0,0.0015,1,48,4.8,109,10.9,0.054,10,36
Greer,United States,12/12/2014,(none),/how-it-works,North America,User,User Generated,0,0.0031,1,18,1.8,376,37.6,0.1829,10,59
Circle Pines,United States,12/12/2014,(none),/why-use,North America,User,User Generated,0,0.0026,1,95,3.518518519,267,9.888888889,0.0988,27,38
East Orange,United States,12/12/2014,(none),index.htm,North America,User,User Generated,2,0.0017,1,7,3.5,268,134,0.0238,2,14
Salt Lake City,United States,12/12/2014,(none),index.htm,North America,User,User Generated,2,0.055555556,1,9,4.5,24253,12126.5,1,2,18
Charleston,United States,12/12/2014,(none),index.htm,North America,User,User Generated,2,0.002,1,8,4,603,301.5,0.09,2,45
Austin,United States,12/12/2014,(none),/how-it-works,North America,User,User Generated,2,0.003,1,10,5,603,301.5,0.141,2,47
Astoria,United States,12/12/2014,(none),index.htm,North America,User,User Generated,2,0.02,1,4,2,246,123,1,2,50
Seattle,United States,12/12/2014,(none),index.htm,North America,User,User Generated,5,0.0027,1,23,4.6,825,165,0.0729,5,27
Washington,United States,12/12/2014,(none),index.htm,North America,User,User Generated,6,0.0036,1,15,2.5,4698,783,0.1332,6,37
Oklahoma City,United States,12/12/2014,(none),index.htm,North America,User,User Generated,8,0.0019,1,24,3,656,82,0.0418,8,22
Kingsport,United States,12/12/2014,(none),/,North America,User,User Generated,10,0.0036,1,25,2.5,540,54,0.0864,10,24
San Jose,United States,12/12/2014,(none),index.htm,North America,User,User Generated,10,0.003,1,14,1.4,1490,149,0.09,10,30
Seattle,United States,12/12/2014,(none),/,North America,User,User Generated,10,0.0012,1,36,3.6,861,86.1,0.036,10,30
Ozark,United States,12/12/2014,(none),index.htm,North America,User,User Generated,10,0.0029,1,34,3.4,16340,1634,0.116,10,40
San Rafael,United States,12/12/2014,(none),/how-it-works,North America,User,User Generated,10,0.0016,1,25,2.5,1340,134,0.0704,10,44
Seabrook,United States,12/12/2014,(none),/how-it-works,North America,User,User Generated,10,0.0032,1,74,4.111111111,69,3.833333333,0.0896,18,28
Richardson,United States,12/12/2014,(none),index.htm,North America,User,User Generated,16,0.0011,1,20,1.25,2080,130,0.0693,16,63
San Diego,United States,12/12/2014,(none),index.htm,North America,User,User Generated,16,0.014705882,1,53,3.3125,1648,103,1,16,68
Dallas,United States,12/12/2014,(none),index.htm,North America,User,User Generated,21,0.0016,1,80,3.809523810,8764,417.333333333,0.0976,21,61
Englewood Cliffs,United States,12/13/2014,(none),/thanks,North America,User,User Generated,0,0.0027,1,13,4.333333333,950,316.666666667,0.1215,3,45
Ft Washington,United States,12/13/2014,(none),/,North America,User,User Generated,0,0.0031,1,15,1.5,227,22.7,0.1457,10,47
Washington,United States,12/13/2014,(none),/how-it-works,North America,User,User Generated,0,0.001,1,65,3.611111111,227,12.611111111,0.046,18,46
Naperville,United States,12/13/2014,(none),index.htm,North America,User,User Generated,2,0.0029,1,3,1.5,140,70,0.0667,2,23
Albuquerque,United States,12/13/2014,(none),index.htm,North America,User,User Generated,2,0.0029,1,2,1,2908,1454,0.0957,2,33
Farmington,United States,12/13/2014,(none),index.htm,North America,User,User Generated,4,0.0018,1,19,4.75,316,79,0.0972,4,54
Calabasas,United States,12/13/2014,(none),index.htm,North America,User,User Generated,6,0.0017,1,30,5,89,14.833333333,0.0918,6,54
Salem,United States,12/13/2014,(none),index.htm,North America,User,User Generated,7,0.0033,1,25,3.571428571,896,128,0.1716,7,52
Dunn Loring,United States,12/13/2014,(none),index.htm,North America,User,User Generated,8,0.05,1,19,2.375,1128,141,1,8,20
West Chester,United States,12/13/2014,(none),/how-it-works,North America,User,User Generated,10,0.0037,1,16,1.6,1090,109,0.0888,10,24
San Jose,United States,12/13/2014,(none),index.htm,North America,User,User Generated,10,0.0019,1,17,1.7,1660,166,0.0494,10,26
